student_id,course_id,chapter_order,time_spent,score,completion_status
S015,C2,4,41.4,98.1,0
S015,C2,5,55.5,79.0,0
S015,C2,6,41.2,51.3,0
S015,C2,7,40.1,77.9,0
S015,C2,8,45.9,100.0,0
S016,C1,1,53.5,72.2,1
S016,C1,2,62.6,78.0,1
S016,C1,3,56.2,97.1,1
S016,C1,4,48.4,65.9,1
S016,C1,5,51.7,87.0,1
S016,C1,6,52.5,85.9,1
S016,C1,7,35.0,57.0,1
S016,C1,8,36.8,51.0,1
S017,C1,1,37.7,73.1,0
S017,C1,2,68.3,55.3,0
S017,C1,3,36.2,82.7,0
S017,C1,4,29.4,89.9,0
S017,C1,5,50.4,78.7,0
S017,C1,6,45.8,77.4,0
S017,C1,7,56.2,79.2,0
S017,C1,8,35.8,75.7,0
S018,C3,1,47.7,86.1,1
S018,C3,2,56.5,53.3,1
S018,C3,3,32.1,81.9,1
S018,C3,4,54.5,36.2,1
S018,C3,5,8.2,68.9,1
S018,C3,6,36.2,65.5,1
S018,C3,7,38.8,84.8,1
S018,C3,8,46.6,74.0,1
S019,C3,1,61.9,100.0,1
S019,C3,2,39.9,73.7,1
S019,C3,3,49.9,95.1,1
S019,C3,4,58.3,77.4,1
S019,C3,5,45.8,70.9,1
S019,C3,6,23.4,64.2,1
S019,C3,7,58.3,66.5,1
S019,C3,8,45.7,52.4,1
S020,C2,1,23.3,48.9,1
S020,C2,2,34.2,66.8,1
S020,C2,3,49.7,92.1,1
S020,C2,4,57.9,67.6,1
S020,C2,5,44.7,55.0,1
S020,C2,6,44.7,65.7,1
S020,C2,7,49.8,57.6,1
S020,C2,8,52.8,93.0,1
S021,C2,1,32.3,69.3,1
S021,C2,2,6.5,87.1,1
S021,C2,3,16.5,79.0,1
S021,C2,4,42.5,74.3,1
S021,C2,5,37.9,73.3,1
S021,C2,6,37.9,61.7,1
S021,C2,7,31.5,92.9,1
S021,C2,8,50.5,73.1,1
S022,C2,1,43.3,84.6,1
S022,C2,2,23.2,81.8,1
S022,C2,3,42.6,49.7,1
S022,C2,4,60.5,42.8,1
S022,C2,5,16.3,75.4,1
S022,C2,6,53.6,84.6,1
S022,C2,7,56.1,92.1,1
S022,C2,8,55.5,68.0,1
S023,C2,1,40.4,52.5,1
S023,C2,2,43.4,92.9,1
S023,C2,3,35.8,91.5,1
S023,C2,4,48.9,88.5,1
S023,C2,5,48.3,62.7,1
S023,C2,6,69.6,73.4,1
S023,C2,7,47.5,82.1,1
S023,C2,8,58.9,82.2,1
S024,C3,1,29.0,67.9,0
S024,C3,2,31.9,59.9,0
S024,C3,3,60.9,93.1,0
S024,C3,4,5.0,66.0,0
S024,C3,5,62.7,71.0,0
S024,C3,6,51.2,90.1,0
S024,C3,7,67.3,83.2,0
S024,C3,8,48.5,82.0,0
S025,C2,1,57.4,100.0,1
S025,C2,2,48.8,63.2,1
S025,C2,3,14.6,99.4,1
S025,C2,4,41.1,78.0,1
S025,C2,5,73.6,73.4,1
S025,C2,6,42.1,91.3,1
S025,C2,7,51.9,78.8,1
S025,C2,8,22.2,88.1,1
S026,C2,1,43.2,68.9,1
S026,C2,2,28.5,77.3,1
S026,C2,3,56.2,65.6,1
S026,C2,4,75.8,65.2,1
S026,C2,5,38.3,62.9,1
S026,C2,6,32.8,61.6,1
S026,C2,7,23.5,67.1,1
S026,C2,8,45.9,35.8,1
S027,C1,1,44.4,56.5,0
S027,C1,2,57.8,60.7,0
S027,C1,3,47.7,70.5,0
S027,C1,4,40.9,35.5,0
S027,C1,5,47.9,94.0,0
S027,C1,6,57.8,55.2,0
S027,C1,7,52.1,79.8,0
S027,C1,8,43.1,55.7,0
S028,C3,1,33.7,48.7,0
S028,C3,2,62.8,73.4,0
S028,C3,3,33.4,64.7,0
S028,C3,4,39.8,38.3,0
S028,C3,5,44.9,92.2,0
S028,C3,6,68.4,78.3,0
S028,C3,7,38.4,93.7,0
S028,C3,8,22.2,53.0,0
S029,C2,1,44.8,45.4,1
S029,C2,2,52.4,67.1,1
S029,C2,3,41.9,35.8,1
S029,C2,4,57.0,72.2,1
S029,C2,5,71.9,68.9,1
S029,C2,6,53.5,82.5,1
S029,C2,7,18.8,100.0,1
S029,C2,8,38.5,77.4,1
S030,C2,1,49.2,30.0,0
S030,C2,2,72.7,74.0,0
S030,C2,3,54.6,45.1,0
S030,C2,4,42.0,77.2,0
S030,C2,5,42.8,63.9,0
S030,C2,6,75.0,99.8,0
S030,C2,7,60.1,61.3,0
S030,C2,8,43.9,54.6,0
S031,C3,1,36.6,92.6,1
S031,C3,2,37.4,51.4,1
S031,C3,3,47.8,75.3,1
S031,C3,4,53.0,80.4,1
S031,C3,5,52.7,77.1,1
S031,C3,6,36.4,59.8,1
S031,C3,7,56.1,73.7,1
S031,C3,8,57.3,44.4,1
S032,C2,1,14.4,54.9,1
S032,C2,2,16.9,64.7,1
S032,C2,3,45.3,95.1,1
S032,C2,4,49.9,66.7,1
S032,C2,5,57.4,36.8,1
S032,C2,6,48.5,81.6,1
S032,C2,7,22.8,87.2,1
S032,C2,8,50.1,63.8,1
S033,C1,1,52.2,93.7,1
S033,C1,2,59.6,80.8,1
S033,C1,3,39.7,63.6,1
S033,C1,4,44.2,97.6,1
S033,C1,5,38.9,73.9,1
S033,C1,6,11.3,80.1,1
S033,C1,7,78.9,56.0,1
S033,C1,8,92.6,72.7,1
S034,C1,1,59.5,84.6,0
S034,C1,2,65.0,100.0,0
S034,C1,3,33.4,51.3,0
S034,C1,4,43.3,74.9,0
S034,C1,5,31.6,35.1,0
S034,C1,6,56.4,73.2,0
S034,C1,7,81.7,71.9,0
S034,C1,8,54.7,93.5,0
S035,C1,1,33.1,77.1,1
S035,C1,2,73.2,90.2,1
S035,C1,3,68.9,62.3,1
S035,C1,4,30.2,68.1,1
S035,C1,5,45.8,86.4,1
S035,C1,6,19.6,92.9,1
S035,C1,7,42.6,63.6,1
S035,C1,8,29.8,45.2,1
S036,C1,1,44.0,82.1,1
S036,C1,2,57.6,69.4,1
S036,C1,3,38.3,71.2,1
S036,C1,4,42.1,74.7,1
S036,C1,5,27.1,74.2,1
S036,C1,6,34.2,83.6,1
S036,C1,7,34.9,60.2,1
S036,C1,8,51.7,70.2,1
S037,C1,1,33.0,67.5,0
S037,C1,2,36.3,56.3,0
S037,C1,3,45.2,69.6,0
S037,C1,4,36.5,86.9,0
S037,C1,5,83.5,53.4,0
S037,C1,6,60.6,55.0,0
S037,C1,7,5.2,86.4,0
S037,C1,8,68.9,69.7,0
S038,C1,1,46.6,67.2,0
S038,C1,2,57.5,50.1,0
S038,C1,3,63.3,37.4,0
S038,C1,4,55.8,53.1,0
S038,C1,5,19.4,85.2,0
S038,C1,6,52.5,54.2,0
S038,C1,7,57.9,79.4,0
S038,C1,8,55.7,76.7,0
S039,C1,1,19.6,56.5,0
S039,C1,2,49.9,51.2,0
S039,C1,3,52.9,73.9,0
S039,C1,4,26.4,57.8,0
S039,C1,5,40.1,68.5,0
S039,C1,6,25.8,96.3,0
S039,C1,7,59.2,64.6,0
S039,C1,8,59.6,69.5,0
S040,C1,1,70.5,71.3,1
S040,C1,2,33.1,94.3,1
S040,C1,3,54.3,52.0,1
S040,C1,4,29.3,66.7,1
S040,C1,5,49.5,79.3,1
S040,C1,6,59.3,78.1,1
S040,C1,7,65.2,71.9,1
S040,C1,8,33.6,69.9,1
S041,C1,1,38.0,77.9,1
S041,C1,2,69.3,93.6,1
S041,C1,3,29.9,77.7,1
S041,C1,4,42.6,82.1,1
S041,C1,5,50.8,34.5,1
S041,C1,6,39.8,73.0,1
S041,C1,7,23.5,78.7,1
S041,C1,8,22.1,58.0,1
S042,C1,1,53.1,72.0,1
S042,C1,2,52.8,68.2,1
S042,C1,3,44.3,53.2,1
S042,C1,4,49.5,44.2,1
S042,C1,5,49.3,65.8,1
S042,C1,6,50.6,54.3,1
S042,C1,7,13.2,64.7,1
S042,C1,8,29.3,43.3,1
S043,C1,1,21.6,64.0,1
S043,C1,2,52.5,78.0,1
S043,C1,3,28.7,83.9,1
S043,C1,4,18.6,87.2,1
S043,C1,5,25.2,66.6,1
S043,C1,6,61.0,71.8,1
S043,C1,7,57.3,79.3,1
S043,C1,8,64.3,85.9,1
S044,C2,1,49.0,81.0,1
S044,C2,2,40.8,71.8,1
S044,C2,3,40.3,71.7,1
S044,C2,4,26.2,100.0,1
S044,C2,5,34.0,64.6,1
S044,C2,6,32.7,79.2,1
S044,C2,7,42.1,55.5,1
S044,C2,8,54.9,81.9,1
S045,C3,1,77.9,75.1,1
S045,C3,2,25.9,91.2,1
S045,C3,3,32.2,100.0,1
S045,C3,4,46.2,85.2,1
S045,C3,5,13.8,50.7,1
S045,C3,6,65.0,74.8,1
S045,C3,7,75.6,77.3,1
S045,C3,8,47.2,95.7,1
S046,C1,1,46.2,86.0,1
S046,C1,2,37.2,91.1,1
S046,C1,3,79.5,64.6,1
S046,C1,4,38.3,91.8,1
S046,C1,5,68.7,62.2,1
S046,C1,6,38.7,65.8,1
S046,C1,7,24.8,56.2,1
S046,C1,8,29.9,58.5,1
S047,C1,1,41.3,56.8,0
S047,C1,2,59.8,66.8,0
S047,C1,3,57.5,73.1,0
S047,C1,4,62.5,94.3,0
S047,C1,5,38.8,68.4,0
S047,C1,6,35.4,87.8,0
S047,C1,7,26.3,78.6,0
S047,C1,8,39.4,52.4,0
S048,C2,1,50.2,64.4,1
S048,C2,2,34.4,59.4,1
S048,C2,3,80.4,84.1,1
S048,C2,4,32.4,72.5,1
S048,C2,5,39.6,78.8,1
S048,C2,6,53.2,86.3,1
S048,C2,7,32.2,71.6,1
S048,C2,8,18.8,51.1,1
S049,C3,1,32.4,69.9,1
S049,C3,2,55.4,54.1,1
S049,C3,3,5.0,56.9,1
S049,C3,4,63.1,75.1,1
S049,C3,5,64.9,53.0,1
S049,C3,6,20.4,76.9,1
S049,C3,7,48.6,74.6,1
S049,C3,8,59.0,76.3,1
S050,C3,1,27.5,58.9,0
S050,C3,2,60.1,93.0,0
S050,C3,3,47.9,67.6,0
S050,C3,4,42.5,72.2,0
S050,C3,5,48.4,67.7,0
S050,C3,6,51.3,76.0,0
S050,C3,7,33.3,60.8,0
S050,C3,8,47.9,70.7,0
S051,C3,1,39.1,59.9,1
S051,C3,2,44.3,65.1,1
S051,C3,3,39.7,86.6,1
S051,C3,4,53.4,59.4,1
S051,C3,5,36.7,77.4,1
S051,C3,6,52.4,60.9,1
S051,C3,7,41.5,97.7,1
S051,C3,8,36.2,98.7,1
S052,C3,1,68.5,69.0,0
S052,C3,2,55.2,69.3,0
S052,C3,3,26.6,67.3,0
S052,C3,4,36.9,83.2,0
S052,C3,5,48.7,61.5,0
S052,C3,6,51.5,73.6,0
S052,C3,7,26.6,94.9,0
S052,C3,8,17.3,61.5,0
S053,C2,1,26.2,91.7,0
S053,C2,2,82.7,45.2,0
S053,C2,3,49.0,66.5,0
S053,C2,4,42.6,52.2,0
S053,C2,5,54.6,89.9,0
S053,C2,6,52.7,66.1,0
S053,C2,7,63.7,77.4,0
S053,C2,8,23.6,79.1,0
S054,C2,1,51.7,55.1,0
S054,C2,2,57.6,60.2,0
S054,C2,3,74.4,64.2,0
S054,C2,4,82.1,62.6,0
S054,C2,5,63.2,81.1,0
S054,C2,6,30.5,69.3,0
S054,C2,7,47.4,56.3,0
S054,C2,8,81.0,69.7,0
S055,C1,1,31.9,70.6,1
S055,C1,2,41.0,68.7,1
S055,C1,3,42.3,59.0,1
S055,C1,4,47.9,54.1,1
S055,C1,5,59.8,79.3,1
S055,C1,6,37.6,63.3,1
S055,C1,7,49.1,58.0,1
S055,C1,8,72.2,75.4,1
S056,C2,1,52.8,89.6,1
S056,C2,2,76.7,66.9,1
S056,C2,3,77.3,87.6,1
S056,C2,4,43.5,92.5,1
S056,C2,5,70.3,63.1,1
S056,C2,6,71.0,86.1,1
S056,C2,7,80.5,63.6,1
S056,C2,8,39.7,39.6,1
S057,C1,1,54.3,86.9,0
S057,C1,2,25.3,88.0,0
S057,C1,3,45.6,71.8,0
S057,C1,4,24.5,62.9,0
S057,C1,5,61.4,68.3,0
S057,C1,6,62.0,65.9,0
S057,C1,7,26.6,48.0,0
S057,C1,8,91.6,75.2,0
S058,C1,1,43.4,96.7,1
S058,C1,2,20.5,61.4,1
S058,C1,3,57.0,72.7,1
S058,C1,4,53.0,51.2,1
S058,C1,5,65.7,81.7,1
S058,C1,6,51.0,59.7,1
S058,C1,7,49.9,65.6,1
S058,C1,8,20.2,69.2,1
S059,C1,1,11.5,73.5,1
S059,C1,2,27.7,74.8,1
S059,C1,3,50.6,68.7,1
S059,C1,4,57.1,51.3,1
S059,C1,5,61.6,59.4,1
S059,C1,6,21.7,65.9,1
S059,C1,7,13.6,73.8,1
S059,C1,8,41.1,88.5,1
S060,C3,1,33.9,50.4,1
S060,C3,2,66.1,45.9,1
S060,C3,3,52.6,37.7,1
S060,C3,4,55.6,84.6,1
S060,C3,5,61.4,67.6,1
S060,C3,6,68.8,100.0,1
S060,C3,7,40.2,63.2,1
S060,C3,8,47.2,62.8,1
S061,C3,1,42.2,76.7,1
S061,C3,2,36.2,70.1,1
S061,C3,3,47.1,76.8,1
S061,C3,4,43.0,86.3,1
S061,C3,5,13.5,100.0,1
S061,C3,6,31.9,76.1,1
S061,C3,7,30.9,79.7,1
S061,C3,8,49.1,60.2,1
S062,C2,1,53.2,56.2,1
S062,C2,2,44.5,100.0,1
S062,C2,3,59.4,74.6,1
S062,C2,4,38.3,71.0,1
S062,C2,5,48.0,76.7,1
S062,C2,6,28.9,80.0,1
S062,C2,7,28.7,94.5,1
S062,C2,8,33.4,74.4,1
S063,C2,1,60.1,66.2,1
S063,C2,2,50.1,91.5,1
S063,C2,3,53.5,75.3,1
S063,C2,4,19.7,56.0,1
S063,C2,5,60.7,78.5,1
S063,C2,6,55.8,79.5,1
S063,C2,7,64.3,66.1,1
S063,C2,8,46.8,54.6,1
S064,C1,1,65.1,93.8,0
S064,C1,2,31.7,93.3,0
S064,C1,3,61.0,100.0,0
S064,C1,4,69.6,85.1,0
S064,C1,5,45.0,94.3,0
S064,C1,6,45.9,86.9,0
S064,C1,7,20.5,72.6,0
S064,C1,8,65.8,78.5,0
S065,C2,1,56.4,74.2,1
S065,C2,2,46.6,69.1,1
S065,C2,3,33.7,65.8,1
S065,C2,4,19.6,68.5,1
S065,C2,5,30.2,53.4,1
S065,C2,6,47.7,90.9,1
S065,C2,7,58.8,46.4,1
S065,C2,8,30.2,84.1,1
S066,C2,1,53.3,55.5,0
S066,C2,2,36.9,77.7,0
S066,C2,3,47.4,55.9,0
S066,C2,4,42.8,81.9,0
S066,C2,5,48.4,90.5,0
S066,C2,6,30.0,71.0,0
S066,C2,7,63.1,75.8,0
S066,C2,8,64.9,76.3,0
S067,C2,1,56.1,66.2,0
S067,C2,2,26.3,59.6,0
S067,C2,3,61.0,56.3,0
S067,C2,4,72.3,57.6,0
S067,C2,5,36.5,76.5,0
S067,C2,6,27.2,74.6,0
S067,C2,7,43.8,86.4,0
S067,C2,8,63.4,94.4,0
S068,C3,1,66.9,44.7,0
S068,C3,2,38.5,59.6,0
S068,C3,3,32.9,94.6,0
S068,C3,4,70.6,63.8,0
S068,C3,5,49.5,62.0,0
S068,C3,6,47.5,73.8,0
S068,C3,7,36.3,54.8,0
S068,C3,8,62.4,46.7,0
S069,C1,1,37.2,73.1,1
S069,C1,2,24.8,82.4,1
S069,C1,3,70.3,83.1,1
S069,C1,4,41.3,46.9,1
S069,C1,5,22.5,50.1,1
S069,C1,6,44.8,71.7,1
S069,C1,7,58.0,43.1,1
S069,C1,8,64.7,80.4,1
S070,C3,1,43.3,56.4,1
S070,C3,2,34.0,88.5,1
S070,C3,3,61.4,79.1,1
S070,C3,4,28.6,65.3,1
S070,C3,5,63.2,72.1,1
S070,C3,6,79.8,75.9,1
S070,C3,7,47.9,65.4,1
S070,C3,8,47.0,67.7,1
S071,C2,1,34.8,52.4,0
S071,C2,2,17.5,77.6,0
S071,C2,3,47.9,68.6,0
S071,C2,4,57.5,70.5,0
S071,C2,5,70.3,98.4,0
S071,C2,6,46.2,68.5,0
S071,C2,7,50.6,100.0,0
S071,C2,8,53.5,79.0,0
S072,C2,1,27.2,64.7,0
S072,C2,2,55.7,71.8,0
S072,C2,3,44.6,82.3,0
S072,C2,4,49.3,68.3,0
S072,C2,5,39.4,55.1,0
S072,C2,6,59.3,30.0,0
S072,C2,7,45.8,77.9,0
S072,C2,8,48.6,55.5,0
S073,C2,1,55.9,63.1,1
S073,C2,2,20.2,88.8,1
S073,C2,3,62.2,39.8,1
S073,C2,4,36.6,61.0,1
S073,C2,5,69.6,68.5,1
S073,C2,6,22.6,83.2,1
S073,C2,7,26.5,66.1,1
S073,C2,8,33.5,61.6,1
S074,C1,1,22.0,83.7,1
S074,C1,2,52.5,100.0,1
S074,C1,3,29.3,66.9,1
S074,C1,4,43.1,84.8,1
S074,C1,5,37.4,52.4,1
S074,C1,6,63.1,65.3,1
S074,C1,7,58.2,81.4,1
S074,C1,8,44.6,67.4,1
S075,C3,1,50.8,90.5,1
S075,C3,2,30.1,78.7,1
S075,C3,3,22.0,85.5,1
S075,C3,4,51.2,86.1,1
S075,C3,5,43.2,63.5,1
S075,C3,6,57.2,50.4,1
S075,C3,7,18.9,69.9,1
S075,C3,8,39.2,78.3,1
S076,C2,1,24.4,45.8,1
S076,C2,2,67.1,66.9,1
S076,C2,3,35.0,85.6,1
S076,C2,4,35.9,97.4,1
S076,C2,5,55.2,62.7,1
S076,C2,6,77.4,60.9,1
S076,C2,7,56.1,74.5,1
S076,C2,8,64.5,93.4,1
S077,C3,1,51.9,59.8,1
S077,C3,2,75.2,72.0,1
S077,C3,3,39.5,72.8,1
S077,C3,4,24.8,55.4,1
S077,C3,5,63.0,60.1,1
S077,C3,6,29.3,78.0,1
S077,C3,7,62.8,80.8,1
S077,C3,8,59.9,58.6,1
S078,C1,1,32.1,56.8,1
S078,C1,2,59.4,69.2,1
S078,C1,3,33.3,64.4,1
S078,C1,4,29.8,69.0,1
S078,C1,5,57.5,69.6,1
S078,C1,6,80.5,76.3,1
S078,C1,7,48.4,56.4,1
S078,C1,8,41.4,58.3,1
S079,C2,1,53.7,72.2,1
S079,C2,2,37.7,65.0,1
S079,C2,3,48.2,67.5,1
S079,C2,4,24.9,83.7,1
S079,C2,5,49.6,74.0,1
S079,C2,6,57.6,57.8,1
S079,C2,7,63.2,67.9,1
S079,C2,8,58.3,81.0,1
S080,C3,1,32.6,83.6,0
S080,C3,2,51.0,60.2,0
S080,C3,3,44.8,78.0,0
S080,C3,4,52.4,80.9,0
S080,C3,5,57.1,82.8,0
S080,C3,6,53.5,43.6,0
S080,C3,7,47.4,57.2,0
S080,C3,8,35.7,77.2,0
S081,C2,1,57.4,56.1,0
S081,C2,2,32.2,60.7,0
S081,C2,3,36.3,78.8,0
S081,C2,4,56.4,78.8,0
S081,C2,5,37.3,53.3,0
S081,C2,6,69.6,100.0,0
S081,C2,7,33.2,79.7,0
S081,C2,8,56.6,86.8,0
S082,C3,1,48.5,30.0,1
S082,C3,2,40.7,55.9,1
S082,C3,3,63.2,79.3,1
S082,C3,4,38.1,64.6,1
S082,C3,5,39.1,63.8,1
S082,C3,6,23.3,45.1,1
S082,C3,7,45.4,86.1,1
S082,C3,8,36.9,74.6,1
S083,C2,1,75.9,88.1,1
S083,C2,2,60.4,78.9,1
S083,C2,3,56.7,61.7,1
S083,C2,4,32.7,69.9,1
S083,C2,5,42.4,63.2,1
S083,C2,6,55.4,84.3,1
S083,C2,7,46.3,92.2,1
S083,C2,8,27.9,67.1,1
S084,C3,1,35.4,50.3,1
S084,C3,2,56.6,83.2,1
S084,C3,3,31.8,61.9,1
S084,C3,4,44.1,100.0,1
S084,C3,5,53.2,55.8,1
S084,C3,6,49.6,49.3,1
S084,C3,7,55.8,95.1,1
S084,C3,8,70.2,81.0,1
S085,C3,1,60.5,67.1,0
S085,C3,2,24.0,30.0,0
S085,C3,3,27.5,30.0,0
S085,C3,4,37.7,72.1,0
S085,C3,5,5.0,67.6,0
S085,C3,6,38.0,64.8,0
S085,C3,7,56.5,88.4,0
S085,C3,8,30.7,55.7,0
S086,C2,1,40.4,93.5,0
S086,C2,2,34.2,62.7,0
S086,C2,3,8.6,83.3,0
S086,C2,4,42.7,66.4,0
S086,C2,5,48.7,71.3,0
S086,C2,6,41.1,83.9,0
S086,C2,7,21.6,62.1,0
S086,C2,8,51.1,69.9,0
S087,C3,1,36.6,54.0,1
S087,C3,2,49.6,68.0,1
S087,C3,3,32.7,67.5,1
S087,C3,4,52.0,98.7,1
S087,C3,5,60.2,35.7,1
S087,C3,6,48.6,91.4,1
S087,C3,7,24.9,78.3,1
S087,C3,8,41.5,87.3,1
S088,C1,1,51.5,83.6,1
S088,C1,2,9.6,54.9,1
S088,C1,3,54.3,100.0,1
S088,C1,4,45.3,59.1,1
S088,C1,5,42.3,90.6,1
S088,C1,6,35.3,58.0,1
S088,C1,7,37.8,55.7,1
S088,C1,8,46.8,94.4,1
S089,C1,1,37.5,59.7,1
S089,C1,2,46.3,79.6,1
S089,C1,3,50.5,93.8,1
S089,C1,4,31.7,71.7,1
S089,C1,5,25.8,56.2,1
S089,C1,6,64.0,63.1,1
S089,C1,7,32.9,38.1,1
S089,C1,8,32.8,66.9,1
S090,C1,1,46.7,48.4,1
S090,C1,2,58.8,60.0,1
S090,C1,3,73.1,86.2,1
S090,C1,4,38.3,89.2,1
S090,C1,5,46.0,82.8,1
S090,C1,6,52.3,57.3,1
S090,C1,7,35.3,85.4,1
S090,C1,8,40.0,63.9,1
S091,C1,1,36.7,84.2,1
S091,C1,2,32.1,87.1,1
S091,C1,3,44.9,74.5,1
S091,C1,4,50.5,60.8,1
S091,C1,5,50.8,58.4,1
S091,C1,6,37.5,78.4,1
S091,C1,7,49.4,68.9,1
S091,C1,8,26.1,54.9,1
S092,C2,1,29.9,87.1,1
S092,C2,2,64.8,68.2,1
S092,C2,3,13.2,60.9,1
S092,C2,4,64.5,69.7,1
S092,C2,5,30.0,62.4,1
S092,C2,6,57.6,78.2,1
S092,C2,7,41.4,64.5,1
S092,C2,8,39.1,56.2,1
S093,C3,1,27.9,100.0,0
S093,C3,2,60.0,63.5,0
S093,C3,3,37.8,80.0,0
S093,C3,4,50.6,58.1,0
S093,C3,5,31.2,77.6,0
S093,C3,6,53.8,62.9,0
S093,C3,7,41.6,61.1,0
S093,C3,8,16.0,71.9,0
S094,C1,1,60.4,50.2,0
S094,C1,2,42.0,74.5,0
S094,C1,3,54.5,86.6,0
S094,C1,4,57.9,75.2,0
S094,C1,5,30.5,72.3,0
S094,C1,6,25.3,61.3,0
S094,C1,7,12.4,82.7,0
S094,C1,8,43.5,91.2,0
S095,C1,1,50.8,59.6,1
S095,C1,2,57.7,77.4,1
S095,C1,3,45.6,72.3,1
S095,C1,4,75.6,84.1,1
S095,C1,5,78.0,78.0,1
S095,C1,6,22.9,66.1,1
S095,C1,7,19.5,77.9,1
S095,C1,8,56.2,56.7,1
S096,C1,1,59.3,95.7,0
S096,C1,2,63.6,71.7,0
S096,C1,3,46.2,63.0,0
S096,C1,4,50.3,90.9,0
S096,C1,5,31.1,73.6,0
S096,C1,6,37.3,70.4,0
S096,C1,7,54.8,100.0,0
S096,C1,8,28.2,68.4,0
S097,C2,1,66.5,65.9,0
S097,C2,2,46.1,46.0,0
S097,C2,3,55.9,59.9,0
S097,C2,4,51.4,72.2,0
S097,C2,5,50.3,69.7,0
S097,C2,6,35.7,72.9,0
